ncols	100
nrows	103
xllcorner	417958.405121
yllcorner	4513292.473900
cellsize	20.000000
NODATA_value	-9999.000000
14.23	14.23	26.26	19.38	19.38	11.41	10.68	10.68	10.13	10.13	9.98	9.71	9.71	9.50	9.37	9.37	9.47	9.47	9.63	9.91	9.91	10.20	10.33	10.33	10.45	10.45	10.47	10.47	10.47	10.54	10.63	10.63	10.73	10.73	10.64	10.36	10.36	9.86	9.35	9.35	9.39	9.39	9.75	9.92	9.92	10.03	10.23	10.23	10.38	10.38	10.37	10.34	10.34	10.41	10.50	10.50	10.58	10.58	10.78	11.19	11.19	11.90	12.55	12.55	12.77	12.77	12.83	12.94	12.94	12.90	12.77	12.77	12.50	12.50	12.06	11.44	11.44	10.67	10.04	10.04	9.67	9.67	8.90	8.37	8.37	9.64	10.90	10.90	11.33	11.33	11.78	12.29	12.29	12.44	12.11	12.11	11.84	11.84	12.03	12.03	
14.23	14.23	26.26	19.38	19.38	11.41	10.68	10.68	10.13	10.13	9.98	9.71	9.71	9.50	9.37	9.37	9.47	9.47	9.63	9.91	9.91	10.20	10.33	10.33	10.45	10.45	10.47	10.47	10.47	10.54	10.63	10.63	10.73	10.73	10.64	10.36	10.36	9.86	9.35	9.35	9.39	9.39	9.75	9.92	9.92	10.03	10.23	10.23	10.38	10.38	10.37	10.34	10.34	10.41	10.50	10.50	10.58	10.58	10.78	11.19	11.19	11.90	12.55	12.55	12.77	12.77	12.83	12.94	12.94	12.90	12.77	12.77	12.50	12.50	12.06	11.44	11.44	10.67	10.04	10.04	9.67	9.67	8.90	8.37	8.37	9.64	10.90	10.90	11.33	11.33	11.78	12.29	12.29	12.44	12.11	12.11	11.84	11.84	12.03	12.03	
14.23	14.23	26.26	19.38	19.38	11.41	10.68	10.68	10.13	10.13	9.98	9.71	9.71	9.50	9.37	9.37	9.47	9.47	9.63	9.91	9.91	10.20	10.33	10.33	10.45	10.45	10.47	10.47	10.47	10.54	10.63	10.63	10.73	10.73	10.64	10.36	10.36	9.86	9.35	9.35	9.39	9.39	9.75	9.92	9.92	10.03	10.23	10.23	10.38	10.38	10.37	10.34	10.34	10.41	10.50	10.50	10.58	10.58	10.78	11.19	11.19	11.90	12.55	12.55	12.77	12.77	12.83	12.94	12.94	12.90	12.77	12.77	12.50	12.50	12.06	11.44	11.44	10.67	10.04	10.04	9.67	9.67	8.90	8.37	8.37	9.64	10.90	10.90	11.33	11.33	11.78	12.29	12.29	12.44	12.11	12.11	11.84	11.84	12.03	12.03	
14.23	14.23	26.26	19.38	19.38	11.41	10.68	10.68	10.13	10.13	9.98	9.71	9.71	9.50	9.37	9.37	9.47	9.47	9.63	9.91	9.91	10.20	10.33	10.33	10.45	10.45	10.47	10.47	10.47	10.54	10.63	10.63	10.73	10.73	10.64	10.36	10.36	9.86	9.35	9.35	9.39	9.39	9.75	9.92	9.92	10.03	10.23	10.23	10.38	10.38	10.37	10.34	10.34	10.41	10.50	10.50	10.58	10.58	10.78	11.19	11.19	11.90	12.55	12.55	12.77	12.77	12.83	12.94	12.94	12.90	12.77	12.77	12.50	12.50	12.06	11.44	11.44	10.67	10.04	10.04	9.67	9.67	8.90	8.37	8.37	9.64	10.90	10.90	11.33	11.33	11.78	12.29	12.29	12.44	12.11	12.11	11.84	11.84	12.03	12.03	
7.07	7.07	24.65	19.75	19.75	12.95	11.25	11.25	10.40	10.40	9.95	9.53	9.53	9.15	8.93	8.93	8.95	8.95	9.07	9.31	9.31	9.62	9.85	9.85	10.02	10.02	10.12	10.18	10.18	10.31	10.60	10.60	11.00	11.00	11.06	10.62	10.62	9.74	8.90	8.90	8.93	8.93	9.34	9.51	9.51	9.57	9.81	9.81	10.14	10.14	10.27	10.36	10.36	10.62	10.95	10.95	11.27	11.27	11.58	11.85	11.85	12.02	11.86	11.86	11.56	11.56	11.64	11.84	11.84	11.88	11.76	11.76	11.44	11.44	10.94	10.31	10.31	9.62	9.14	9.14	8.88	8.88	7.95	7.13	7.13	8.28	9.70	9.70	10.18	10.18	10.52	11.16	11.16	11.66	11.89	11.89	12.67	12.67	13.42	13.42	
4.45	4.45	22.85	20.37	20.37	15.27	12.48	12.48	11.04	11.04	10.06	9.29	9.29	8.62	8.25	8.25	8.18	8.18	8.29	8.56	8.56	8.87	9.14	9.14	9.44	9.44	9.64	9.85	9.85	10.22	10.78	10.78	11.47	11.47	11.69	11.06	11.06	9.63	8.43	8.43	8.37	8.37	8.76	8.92	8.92	9.03	9.30	9.30	9.67	9.67	9.90	10.22	10.22	10.91	11.71	11.71	12.40	12.40	12.94	13.13	13.13	12.71	11.58	11.58	10.49	10.49	10.31	10.49	10.49	10.44	10.25	10.25	9.82	9.82	9.21	8.60	8.60	8.03	7.71	7.71	7.47	7.47	6.39	5.39	5.39	6.47	7.95	7.95	8.45	8.45	8.79	9.73	9.73	10.84	12.00	12.00	14.24	14.24	15.69	15.69	
4.45	4.45	22.85	20.37	20.37	15.27	12.48	12.48	11.04	11.04	10.06	9.29	9.29	8.62	8.25	8.25	8.18	8.18	8.29	8.56	8.56	8.87	9.14	9.14	9.44	9.44	9.64	9.85	9.85	10.22	10.78	10.78	11.47	11.47	11.69	11.06	11.06	9.63	8.43	8.43	8.37	8.37	8.76	8.92	8.92	9.03	9.30	9.30	9.67	9.67	9.90	10.22	10.22	10.91	11.71	11.71	12.40	12.40	12.94	13.13	13.13	12.71	11.58	11.58	10.49	10.49	10.31	10.49	10.49	10.44	10.25	10.25	9.82	9.82	9.21	8.60	8.60	8.03	7.71	7.71	7.47	7.47	6.39	5.39	5.39	6.47	7.95	7.95	8.45	8.45	8.79	9.73	9.73	10.84	12.00	12.00	14.24	14.24	15.69	15.69	
4.13	4.13	20.73	19.65	19.65	16.37	13.72	13.72	11.73	11.73	10.29	9.22	9.22	8.36	7.87	7.87	7.76	7.76	7.85	8.12	8.12	8.51	8.83	8.83	9.14	9.14	9.40	9.73	9.73	10.30	11.02	11.02	11.74	11.74	11.98	11.28	11.28	9.67	8.32	8.32	8.16	8.16	8.44	8.61	8.61	8.80	9.08	9.08	9.41	9.41	9.72	10.18	10.18	10.99	12.05	12.05	13.08	13.08	13.84	14.02	14.02	13.46	12.20	12.20	10.78	10.78	10.19	10.06	10.06	9.76	9.40	9.40	8.86	8.86	8.22	7.68	7.68	7.15	6.76	6.76	6.39	6.39	5.34	4.56	4.56	5.72	6.94	6.94	7.39	7.39	8.04	9.32	9.32	10.76	12.44	12.44	15.30	15.30	16.97	16.97	
4.13	4.13	20.73	19.65	19.65	16.37	13.72	13.72	11.73	11.73	10.29	9.22	9.22	8.36	7.87	7.87	7.76	7.76	7.85	8.12	8.12	8.51	8.83	8.83	9.14	9.14	9.40	9.73	9.73	10.30	11.02	11.02	11.74	11.74	11.98	11.28	11.28	9.67	8.32	8.32	8.16	8.16	8.44	8.61	8.61	8.80	9.08	9.08	9.41	9.41	9.72	10.18	10.18	10.99	12.05	12.05	13.08	13.08	13.84	14.02	14.02	13.46	12.20	12.20	10.78	10.78	10.19	10.06	10.06	9.76	9.40	9.40	8.86	8.86	8.22	7.68	7.68	7.15	6.76	6.76	6.39	6.39	5.34	4.56	4.56	5.72	6.94	6.94	7.39	7.39	8.04	9.32	9.32	10.76	12.44	12.44	15.30	15.30	16.97	16.97	
4.21	4.21	20.26	19.56	19.56	17.04	14.74	14.74	12.39	12.39	10.55	9.27	9.27	8.29	7.77	7.77	7.64	7.64	7.54	7.68	7.68	8.16	8.58	8.58	8.96	8.96	9.25	9.64	9.64	10.28	11.10	11.10	11.89	11.89	12.17	11.45	11.45	9.80	8.36	8.36	8.07	8.07	8.22	8.35	8.35	8.61	8.92	8.92	9.24	9.24	9.61	10.14	10.14	10.93	12.11	12.11	13.40	13.40	14.36	14.58	14.58	14.06	12.91	12.91	11.37	11.37	10.46	10.00	10.00	9.43	8.89	8.89	8.25	8.25	7.70	7.21	7.21	6.63	6.06	6.06	5.53	5.53	4.56	4.05	4.05	5.28	6.23	6.23	6.67	6.67	7.65	9.19	9.19	10.90	12.87	12.87	16.01	16.01	17.79	17.79	
